voltage_list,tap,reg_voltage,vreg,ptratio,v_base,patamar
"[0.980139970779419, 0.9769099950790405, 0.9769200086593628, 0.9719399809837341, 0.9784799814224243]",0,0.98352,123.0,63.496,7967.433714816837,65
"[0.9801499843597412, 0.9769300222396851, 0.9769300222396851, 0.9719600081443787, 0.9785000085830688]",0,0.98353,123.0,63.496,7967.433714816837,66
"[0.9801700115203857, 0.9769399762153625, 0.9769499897956848, 0.9719799757003784, 0.9785100221633911]",0,0.98354,123.0,63.496,7967.433714816837,67
"[0.980180025100708, 0.9769600033760071, 0.9769600033760071, 0.9719899892807007, 0.9785299897193909]",0,0.98356,123.0,63.496,7967.433714816837,68
"[0.9801899790763855, 0.9769700169563293, 0.9769799709320068, 0.9720100164413452, 0.9785400032997131]",0,0.98357,123.0,63.496,7967.433714816837,69
"[0.98021000623703, 0.9769899845123291, 0.9769899845123291, 0.972029983997345, 0.9785599708557129]",0,0.98358,123.0,63.496,7967.433714816837,70
"[0.9802299737930298, 0.9769999980926514, 0.9770100116729736, 0.9720500111579895, 0.9785799980163574]",0,0.9836,123.0,63.496,7967.433714816837,71
"[0.980239987373352, 0.9770200252532959, 0.9770299792289734, 0.9720699787139893, 0.9785900115966797]",0,0.98361,123.0,63.496,7967.433714816837,72
"[0.9802500009536743, 0.9770299792289734, 0.9770399928092957, 0.9720799922943115, 0.9786099791526794]",0,0.98362,123.0,63.496,7967.433714816837,73
"[0.9802700281143188, 0.9770500063896179, 0.9770600199699402, 0.972100019454956, 0.9786199927330017]",0,0.98364,123.0,63.496,7967.433714816837,74
"[0.9802799820899963, 0.9770600199699402, 0.9770699739456177, 0.9721199870109558, 0.9786400198936462]",0,0.98365,123.0,63.496,7967.433714816837,75
"[0.9802899956703186, 0.9770799875259399, 0.9770900011062622, 0.9721400141716003, 0.9786499738693237]",0,0.98366,123.0,63.496,7967.433714816837,76
"[0.9803100228309631, 0.9771000146865845, 0.9771000146865845, 0.9721500277519226, 0.9786700010299683]",0,0.98367,123.0,63.496,7967.433714816837,77
"[0.9803199768066406, 0.9771100282669067, 0.9771199822425842, 0.9721699953079224, 0.9786800146102905]",0,0.98369,123.0,63.496,7967.433714816837,78
"[0.9803400039672852, 0.9771299958229065, 0.9771299958229065, 0.9721900224685669, 0.9786999821662903]",0,0.9837,123.0,63.496,7967.433714816837,79
"[0.9803500175476074, 0.9771400094032288, 0.977150022983551, 0.9721999764442444, 0.9787200093269348]",0,0.98371,123.0,63.496,7967.433714816837,80
"[0.9803599715232849, 0.9771599769592285, 0.9771599769592285, 0.9722200036048889, 0.9787300229072571]",0,0.98372,123.0,63.496,7967.433714816837,81
"[0.9803799986839294, 0.9771699905395508, 0.977180004119873, 0.9722399711608887, 0.9787499904632568]",0,0.98374,123.0,63.496,7967.433714816837,82
"[0.9803900122642517, 0.9771900177001953, 0.9771900177001953, 0.9722599983215332, 0.9787600040435791]",0,0.98375,123.0,63.496,7967.433714816837,83
"[0.9804099798202515, 0.9771999716758728, 0.9772099852561951, 0.9722700119018555, 0.9787799715995789]",0,0.98376,123.0,63.496,7967.433714816837,84
"[0.9804199934005737, 0.9772199988365173, 0.9772199988365173, 0.9722899794578552, 0.9787899851799011]",0,0.98377,123.0,63.496,7967.433714816837,85
"[0.980430006980896, 0.9772300124168396, 0.9772400259971619, 0.9723100066184998, 0.9788100123405457]",0,0.98379,123.0,63.496,7967.433714816837,86
"[0.9804499745368958, 0.9772499799728394, 0.9772499799728394, 0.972320020198822, 0.9788200259208679]",0,0.9838,123.0,63.496,7967.433714816837,87
"[0.980459988117218, 0.9772599935531616, 0.9772700071334839, 0.9723399877548218, 0.9788399934768677]",0,0.98381,123.0,63.496,7967.433714816837,88
"[0.9804800152778625, 0.9772800207138062, 0.9772800207138062, 0.9723600149154663, 0.9788600206375122]",0,0.98382,123.0,63.496,7967.433714816837,89
"[0.9804900288581848, 0.9772899746894836, 0.9772999882698059, 0.9723799824714661, 0.9788699746131897]",0,0.98384,123.0,63.496,7967.433714816837,90
"[0.9804999828338623, 0.9773100018501282, 0.9773100018501282, 0.9723899960517883, 0.9788900017738342]",0,0.98385,123.0,63.496,7967.433714816837,91
"[0.9805200099945068, 0.9773200154304504, 0.9773300290107727, 0.9724100232124329, 0.9789000153541565]",0,0.98386,123.0,63.496,7967.433714816837,92
"[0.9805300235748291, 0.9773399829864502, 0.9773399829864502, 0.9724299907684326, 0.9789199829101562]",0,0.98387,123.0,63.496,7967.433714816837,93
"[0.9805499911308289, 0.9773499965667725, 0.9773600101470947, 0.9724400043487549, 0.9789299964904785]",0,0.98389,123.0,63.496,7967.433714816837,94
"[0.9805600047111511, 0.977370023727417, 0.977370023727417, 0.9724599719047546, 0.978950023651123]",0,0.9839,123.0,63.496,7967.433714816837,95
"[0.9805700182914734, 0.9773799777030945, 0.9773899912834167, 0.9724799990653992, 0.9789599776268005]",0,0.98391,123.0,63.496,7967.433714816837,96
"[0.9805899858474731, 0.977400004863739, 0.977400004863739, 0.9725000262260437, 0.9789800047874451]",0,0.98392,123.0,63.496,7967.433714816837,97
"[0.9805999994277954, 0.9774100184440613, 0.9774199724197388, 0.9725099802017212, 0.9789900183677673]",0,0.98394,123.0,63.496,7967.433714816837,98
"[0.9806200265884399, 0.977429986000061, 0.977429986000061, 0.9725300073623657, 0.9790099859237671]",0,0.98395,123.0,63.496,7967.433714816837,99
"[0.9806299805641174, 0.9774399995803833, 0.9774500131607056, 0.9725499749183655, 0.9790300130844116]",0,0.98396,123.0,63.496,7967.433714816837,100
"[0.9806399941444397, 0.9774600267410278, 0.9774600267410278, 0.9725599884986877, 0.9790400266647339]",0,0.98397,123.0,63.496,7967.433714816837,101
"[0.9806600213050842, 0.9774699807167053, 0.9774799942970276, 0.9725800156593323, 0.9790599942207336]",0,0.98399,123.0,63.496,7967.433714816837,102
"[0.9806699752807617, 0.9774900078773499, 0.9774900078773499, 0.972599983215332, 0.9790700078010559]",0,0.984,123.0,63.496,7967.433714816837,103
"[0.9806900024414062, 0.9775000214576721, 0.9775099754333496, 0.9726200103759766, 0.9790899753570557]",0,0.98401,123.0,63.496,7967.433714816837,104
"[0.9807000160217285, 0.9775199890136719, 0.9775199890136719, 0.9726300239562988, 0.9790999889373779]",0,0.98402,123.0,63.496,7967.433714816837,105
"[0.9807100296020508, 0.9775300025939941, 0.9775400161743164, 0.9726499915122986, 0.9791200160980225]",0,0.98404,123.0,63.496,7967.433714816837,106
"[0.9807299971580505, 0.9775500297546387, 0.9775500297546387, 0.9726700186729431, 0.9791300296783447]",0,0.98405,123.0,63.496,7967.433714816837,107
"[0.9807400107383728, 0.9775599837303162, 0.9775699973106384, 0.9726899862289429, 0.9791499972343445]",0,0.98406,123.0,63.496,7967.433714816837,108
"[0.9807599782943726, 0.9775800108909607, 0.9775800108909607, 0.9726999998092651, 0.979170024394989]",0,0.98407,123.0,63.496,7967.433714816837,109
"[0.9807699918746948, 0.977590024471283, 0.9775999784469604, 0.9727200269699097, 0.9791799783706665]",0,0.98409,123.0,63.496,7967.433714816837,110
"[0.9807800054550171, 0.9776099920272827, 0.9776099920272827, 0.9727399945259094, 0.979200005531311]",0,0.9841,123.0,63.496,7967.433714816837,111
"[0.9807999730110168, 0.977620005607605, 0.9776300191879272, 0.9727500081062317, 0.9792100191116333]",0,0.98411,123.0,63.496,7967.433714816837,112
"[0.9808099865913391, 0.9776399731636047, 0.9776399731636047, 0.9727699756622314, 0.9792299866676331]",0,0.98413,123.0,63.496,7967.433714816837,113
"[0.9808300137519836, 0.977649986743927, 0.9776600003242493, 0.972790002822876, 0.9792400002479553]",0,0.98414,123.0,63.496,7967.433714816837,114
"[0.9808400273323059, 0.9776700139045715, 0.9776700139045715, 0.9728099703788757, 0.9792600274085999]",0,0.98415,123.0,63.496,7967.433714816837,115
"[0.9808499813079834, 0.9776800274848938, 0.9776899814605713, 0.972819983959198, 0.9792699813842773]",0,0.98416,123.0,63.496,7967.433714816837,116
"[0.9808700084686279, 0.9776999950408936, 0.9776999950408936, 0.9728400111198425, 0.9792900085449219]",0,0.98418,123.0,63.496,7967.433714816837,117
"[0.9808800220489502, 0.9777100086212158, 0.9777200222015381, 0.9728599786758423, 0.9793000221252441]",0,0.98419,123.0,63.496,7967.433714816837,118
"[0.98089998960495, 0.9777299761772156, 0.9777299761772156, 0.9728699922561646, 0.9793199896812439]",0,0.9842,123.0,63.496,7967.433714816837,119
"[0.9809100031852722, 0.9777399897575378, 0.9777500033378601, 0.9728900194168091, 0.9793400168418884]",0,0.98421,123.0,63.496,7967.433714816837,120
"[0.9809200167655945, 0.9777600169181824, 0.9777600169181824, 0.9729099869728088, 0.9793499708175659]",0,0.98423,123.0,63.496,7967.433714816837,121
"[0.9809200167655945, 0.9777500033378601, 0.9777600169181824, 0.9729099869728088, 0.9793499708175659]",0,0.98422,123.0,63.496,7967.433714816837,122
"[0.9809200167655945, 0.9777500033378601, 0.9777600169181824, 0.9728999733924866, 0.9793499708175659]",0,0.98422,123.0,63.496,7967.433714816837,123
"[0.9809100031852722, 0.9777500033378601, 0.9777500033378601, 0.9728999733924866, 0.9793400168418884]",0,0.98422,123.0,63.496,7967.433714816837,124
"[0.9809100031852722, 0.9777399897575378, 0.9777500033378601, 0.9728900194168091, 0.9793400168418884]",0,0.98421,123.0,63.496,7967.433714816837,125
"[0.9809100031852722, 0.9777399897575378, 0.9777500033378601, 0.9728900194168091, 0.9793400168418884]",0,0.98421,123.0,63.496,7967.433714816837,126
"[0.98089998960495, 0.9777399897575378, 0.9777399897575378, 0.9728900194168091, 0.9793300032615662]",0,0.98421,123.0,63.496,7967.433714816837,127
"[0.98089998960495, 0.9777299761772156, 0.9777399897575378, 0.9728800058364868, 0.9793300032615662]",0,0.9842,123.0,63.496,7967.433714816837,128
"[0.98089998960495, 0.9777299761772156, 0.9777399897575378, 0.9728800058364868, 0.9793300032615662]",0,0.9842,123.0,63.496,7967.433714816837,129
"[0.9808899760246277, 0.9777299761772156, 0.9777299761772156, 0.9728800058364868, 0.9793199896812439]",0,0.9842,123.0,63.496,7967.433714816837,130
"[0.9808899760246277, 0.9777200222015381, 0.9777299761772156, 0.9728699922561646, 0.9793199896812439]",0,0.98419,123.0,63.496,7967.433714816837,131
"[0.9808899760246277, 0.9777200222015381, 0.9777299761772156, 0.9728699922561646, 0.9793199896812439]",0,0.98419,123.0,63.496,7967.433714816837,132
"[0.9808800220489502, 0.9777200222015381, 0.9777200222015381, 0.9728699922561646, 0.9793199896812439]",0,0.98419,123.0,63.496,7967.433714816837,133
"[0.9808800220489502, 0.9777100086212158, 0.9777200222015381, 0.9728599786758423, 0.9793099761009216]",0,0.98418,123.0,63.496,7967.433714816837,134
"[0.9808700084686279, 0.9777100086212158, 0.9777200222015381, 0.9728599786758423, 0.9793099761009216]",0,0.98418,123.0,63.496,7967.433714816837,135
"[0.9808700084686279, 0.9777100086212158, 0.9777100086212158, 0.9728599786758423, 0.9793099761009216]",0,0.98418,123.0,63.496,7967.433714816837,136
"[0.9808700084686279, 0.9776999950408936, 0.9777100086212158, 0.9728500247001648, 0.9793000221252441]",0,0.98418,123.0,63.496,7967.433714816837,137
"[0.9808599948883057, 0.9776999950408936, 0.9777100086212158, 0.9728500247001648, 0.9793000221252441]",0,0.98417,123.0,63.496,7967.433714816837,138
"[0.9808599948883057, 0.9776999950408936, 0.9776999950408936, 0.9728500247001648, 0.9793000221252441]",0,0.98417,123.0,63.496,7967.433714816837,139
"[0.9808599948883057, 0.9776899814605713, 0.9776999950408936, 0.9728400111198425, 0.9792900085449219]",0,0.98417,123.0,63.496,7967.433714816837,140
"[0.9808499813079834, 0.9776899814605713, 0.9776999950408936, 0.9728400111198425, 0.9792900085449219]",0,0.98416,123.0,63.496,7967.433714816837,141
"[0.9808499813079834, 0.9776899814605713, 0.9776899814605713, 0.9728400111198425, 0.9792900085449219]",0,0.98416,123.0,63.496,7967.433714816837,142
"[0.9808499813079834, 0.9776800274848938, 0.9776899814605713, 0.9728299975395203, 0.9792900085449219]",0,0.98416,123.0,63.496,7967.433714816837,143
"[0.9808400273323059, 0.9776800274848938, 0.9776899814605713, 0.9728299975395203, 0.9792799949645996]",0,0.98415,123.0,63.496,7967.433714816837,144
"[0.9808400273323059, 0.9776800274848938, 0.9776800274848938, 0.972819983959198, 0.9792799949645996]",0,0.98415,123.0,63.496,7967.433714816837,145
"[0.9808400273323059, 0.9776700139045715, 0.9776800274848938, 0.972819983959198, 0.9792799949645996]",0,0.98415,123.0,63.496,7967.433714816837,146
"[0.9808300137519836, 0.9776700139045715, 0.9776800274848938, 0.972819983959198, 0.9792699813842773]",0,0.98414,123.0,63.496,7967.433714816837,147
"[0.9808300137519836, 0.9776700139045715, 0.9776700139045715, 0.9728099703788757, 0.9792699813842773]",0,0.98414,123.0,63.496,7967.433714816837,148
